id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
120,064,10064,蹦蹦草,蹦蹦草（海神球形态）,Ⅱ阶,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,80,85,88,59,84,68,464,,,否,蹦蹦种子（海神球形态）,海神球形态,,0.59~0.85,34.3~42.9,彼得大道,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8D%89%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/62/sdazex9mreedpinwxklyhfu4k9xi8h9.png,
121,064,100642,蹦蹦草,蹦蹦草（短毛球形态）,Ⅱ阶,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,76,82,87,64,90,64,463,,,否,蹦蹦种子（短毛球形态）,短毛球形态,,0.59~0.85,34.3~42.9,常见于草地、平原,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8D%89%EF%BC%88%E7%9F%AD%E6%AF%9B%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/4c/b89cg2rtmz5u2es2m41sc18ythoghc5.png,
122,064,100643,蹦蹦草,蹦蹦草（象牙球形态）,Ⅱ阶,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,79,80,88,59,84,72,462,,,否,蹦蹦种子（象牙球形态）,象牙球形态,,0.59~0.85,34.3~42.9,常见于草地、平原,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8D%89%EF%BC%88%E8%B1%A1%E7%89%99%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/02/gq7dces9jbrr9d8mnh0jey6apcxy918.png,
123,065,100654,蹦蹦果,蹦蹦果,最终阶段,草,毒,高浓生物碱,使用技能时，敌方获得2层中毒。,100,87,90,73,105,85,540,,,否,蹦蹦种子（海神球形态）,,,1.94~2.51,167~191,常见于草地、平原,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E6%9E%9C,https://patchwiki.biligame.com/images/rocom/b/b5/527olq8iiip448chxc6gn3zlzzrso1x.png,
124,065,100651,蹦蹦花,蹦蹦花（彩玉球形态）,最终阶段,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,103,101,109,73,105,85,576,,,否,蹦蹦种子（彩玉球形态）,彩玉球形态,,1.33~1.9,75~86,常见于草地、平原,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E5%BD%A9%E7%8E%89%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/1/16/i4vw04mpnvyped0gvbm7tpbtz0venve.png,
125,065,10065,蹦蹦花,蹦蹦花（海神球形态）,最终阶段,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,100,107,110,73,105,85,580,,,否,蹦蹦种子（海神球形态）,海神球形态,,1.33~1.9,75~86,彼得大道,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E6%B5%B7%E7%A5%9E%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/b/b4/jpdd60oi1k87a3tjhtdhl6n7uf6zn7x.png,
126,065,100652,蹦蹦花,蹦蹦花（短毛球形态）,最终阶段,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,95,103,109,80,112,80,579,,,否,蹦蹦种子（短毛球形态）,短毛球形态,,1.33~1.9,75~86,常见于草地、平原,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E7%9F%AD%E6%AF%9B%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/f/f8/m4negu4egvnb6beuqppdej76ylqf5gb.png,
127,065,100653,蹦蹦花,蹦蹦花（象牙球形态）,最终阶段,草,毒,生物碱,使用草系技能时，敌方获得2层中毒。,99,100,110,73,106,90,578,,,否,蹦蹦种子（象牙球形态）,象牙球形态,,1.33~1.9,75~86,常见于草地、平原,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E8%B9%A6%E8%8A%B1%EF%BC%88%E8%B1%A1%E7%89%99%E7%90%83%E5%BD%A2%E6%80%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/78/3fv63xiv5fo42y0t80czcqq6f3m0r9b.png,
128,066,10066,电咩咩,电咩咩,Ⅰ阶,电,,快充,离场时回复10能量。,47,49,49,55,57,75,332,,,否,电咩咩,,,0.58~0.83,7.17~9.1,常见于草地,0.6,https://wiki.biligame.com/rocom/%E7%94%B5%E5%92%A9%E5%92%A9,https://patchwiki.biligame.com/images/rocom/5/57/rrzi4lxo68m4mmhokly3l8z4t2ti2r7.png,
129,067,10067,粉咩咩,粉咩咩,Ⅱ阶,电,,快充,离场时回复10能量。,62,66,66,73,76,100,443,,,否,电咩咩,,,0.8~1.14,15.3~18.6,常见于草地,0.6,https://wiki.biligame.com/rocom/%E7%B2%89%E5%92%A9%E5%92%A9,https://patchwiki.biligame.com/images/rocom/d/d4/90spmq5ikabu64yf2g3l5lk8z3vvdpn.png,
130,068,10068,电球咩咩,电球咩咩,最终阶段,电,,快充,离场时回复10能量。,78,82,82,91,95,125,553,,,否,电咩咩,,,1.13~1.62,48.6~58,常见于草地,0.6,https://wiki.biligame.com/rocom/%E7%94%B5%E7%90%83%E5%92%A9%E5%92%A9,https://patchwiki.biligame.com/images/rocom/0/01/4sz6qymt56rlm9ybuobr7s76qonzxvu.png,
131,069,10069,蒲公英,蒲公英,Ⅰ阶,草,萌,勇敢,携带的能耗大于3的技能，威力+40%。,89,99,94,103,78,52,515,,,否,蒲公英,,,0.3~0.5,0.1~0.6,咕嘟咕嘟浅滩,0.6,https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1,https://patchwiki.biligame.com/images/rocom/1/1d/87el3plwkuzm4wsb0l6s3ffqowsbiwl.png,
132,070,10070,蒲公英娃娃,蒲公英娃娃,最终阶段,草,萌,勇敢,携带的能耗大于3的技能，威力+40%。,111,123,117,129,97,65,642,,,否,蒲公英,,,0.7~1,0.3~1.35,咸水湾,0.6,https://wiki.biligame.com/rocom/%E8%92%B2%E5%85%AC%E8%8B%B1%E5%A8%83%E5%A8%83,https://patchwiki.biligame.com/images/rocom/e/eb/8np4gxq8dybdydnv77kwoc300to6ont.png,
133,071,10071,伊贝儿,伊贝儿,Ⅰ阶,草,,腐植循环,每回复1能量，同时回复5%生命。,85,73,71,76,76,72,453,,,否,伊贝儿,,,0.44~0.62,3.3~4.2,望风半岛,0.6,https://wiki.biligame.com/rocom/%E4%BC%8A%E8%B4%9D%E5%84%BF,https://patchwiki.biligame.com/images/rocom/b/b2/3x1hdgzmc2cyjh9zkfdyw1smgck9o3r.png,
134,072,10072,伊贝粉粉,伊贝粉粉,最终阶段,草,,腐植循环,每回复1能量，同时回复5%生命。,106,91,89,95,95,90,566,,,否,伊贝儿,,,1.03~1.47,9.3~12.5,望风半岛,0.6,https://wiki.biligame.com/rocom/%E4%BC%8A%E8%B4%9D%E7%B2%89%E7%B2%89,https://patchwiki.biligame.com/images/rocom/9/9e/ld012t25twk5oisvs10ok7g2t7apki1.png,
135,073,10073,白发懒人,白发懒人,Ⅰ阶,普通,,慢热型,初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,86,94,38,81,66,45,410,,,否,白发懒人,,,0.72~1.03,19.5~23.5,金叶原,0.6,https://wiki.biligame.com/rocom/%E7%99%BD%E5%8F%91%E6%87%92%E4%BA%BA,https://patchwiki.biligame.com/images/rocom/4/46/06pz2jvhh5k0ukbgj30jmdfyz4nic06.png,
136,074,10074,动力猿,动力猿,Ⅱ阶,普通,武,慢热型,初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,115,125,51,108,88,60,547,,,否,白发懒人,,,1.2~1.71,46.5~63.5,偶见于城镇周边、山地,0.6,https://wiki.biligame.com/rocom/%E5%8A%A8%E5%8A%9B%E7%8C%BF,https://patchwiki.biligame.com/images/rocom/9/98/okpl88mwskdjsdfwxwln1kbpwxxly69.png,
137,075,10075,瞌睡王,瞌睡王,最终阶段,普通,武,慢热型,初始能量为0，入场前己方精灵每成功应对1次，回复5能量。,144,157,64,135,110,75,685,,,否,白发懒人,,,1.61~2.31,124.5~136.5,月牙湖岸 / 风息山口,0.6,https://wiki.biligame.com/rocom/%E7%9E%8C%E7%9D%A1%E7%8E%8B,https://patchwiki.biligame.com/images/rocom/a/a2/64947rnxu8ncihl37rqldr3653bg57n.png,
138,076,10076,海盔虫,海盔虫（本来的样子）,Ⅰ阶,水,毒,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,71,25,59,46,66,60,327,,,否,海盔虫（本来的样子）,本来的样子,,0.55~0.7,7.4~8.6,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E7%9B%94%E8%99%AB%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/c/c5/hyqqzb0xxpt4zjthslvr4y25bvsbkvg.png,
139,076,100761,海盔虫,海盔虫（磨损的样子）,最终阶段,水,毒,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,70,25,60,44,64,63,326,,,否,海盔虫（磨损的样子）,磨损的样子,,0.55~0.7,7.4~8.6,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E7%9B%94%E8%99%AB%EF%BC%88%E7%A3%A8%E6%8D%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/f/f2/sb32j6sfylxtbiqts0q9qc8zazyhzlh.png,
140,077,10077,刺盔虫,刺盔虫（本来的样子）,Ⅱ阶,水,毒,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,94,33,79,61,88,80,435,,,否,海盔虫（本来的样子）,本来的样子,,0.83~1.19,22.5~29.8,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E5%88%BA%E7%9B%94%E8%99%AB%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d9/4p1drrucxykr3h3aaxf4xxk9l59554s.png,
141,077,100771,刺盔虫,刺盔虫（磨损的样子）,最终阶段,水,毒,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,94,33,80,59,85,84,435,,,否,海盔虫（磨损的样子）,磨损的样子,,0.83~1.19,22.5~29.8,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E5%88%BA%E7%9B%94%E8%99%AB%EF%BC%88%E7%A3%A8%E6%8D%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/5e/oi5u73v5e5mrkgn0m8avn1tsmfpyvo7.png,
142,078,100782,千棘海针,千棘海针,最终阶段,水,毒,溶解腐蚀,每携带1个毒系技能进入战斗，水系技能使敌方获得2层中毒。,118,32,85,94,133,100,562,,,否,海盔虫（本来的样子）,,,1.73~2.14,192.5~252,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E6%B5%B7%E9%92%88,https://patchwiki.biligame.com/images/rocom/f/f9/pudem6kzv2b7u499vy533jbzhcfis8g.png,
143,078,10078,千棘盔,千棘盔（本来的样子）,最终阶段,水,毒,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,118,41,99,76,111,100,545,,,否,海盔虫（本来的样子）,本来的样子,,1.11~1.33,98.6~115,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E7%9B%94%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d3/m619bkrakzm4rsb834fgl8s3tuleqzw.png,
144,078,100781,千棘盔,千棘盔（磨损的样子）,最终阶段,水,毒,溶解扩散,每携带1个毒系技能进入战斗，水系技能使敌方获得1层中毒。,117,41,100,74,107,105,544,,,否,海盔虫（磨损的样子）,磨损的样子,,1.11~1.33,98.6~115,常见于海洋,0.6,https://wiki.biligame.com/rocom/%E5%8D%83%E6%A3%98%E7%9B%94%EF%BC%88%E7%A3%A8%E6%8D%9F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/02/6oldm5ijvf1cvinze5y0mulbdf82kvk.png,
145,079,10079,菊花梨,菊花梨,最终阶段,萌,,无忧无虑,可获得的萌化层数不受限制。,106,49,116,77,115,60,523,,,是,菊花梨,,,0.63~0.9,4.2~5.8,常见于山林,0.6,https://wiki.biligame.com/rocom/%E8%8F%8A%E8%8A%B1%E6%A2%A8,https://patchwiki.biligame.com/images/rocom/d/db/qitqnhdvjw8gwhnvvapfuqv6g0qgaef.png,
146,080,10080,小星光,小星光（星光能量的样子）,Ⅰ阶,电,,电流刺激,携带的攻击技能获得迸发：威力+40。,60,81,85,72,88,108,494,,,否,小星光（星光能量的样子）,星光能量的样子,,0.78~1.12,27.5~36.2,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E6%98%9F%E5%85%89%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/b/b1/o9j051uk3ed7na8hgl6lyic6xv38mjb.png,
147,080,100801,小星光,小星光（月光能量的样子）,最终阶段,电,光,电流刺激,携带的攻击技能获得迸发：威力+40。,64,76,85,72,96,100,493,,,否,小星光（月光能量的样子）,月光能量的样子,,0.78~1.12,27.5~36.2,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E6%98%9F%E5%85%89%EF%BC%88%E6%9C%88%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/a/a3/mo9n9kgl3adm9nrgwxxw594uddgkzom.png,
148,081,10081,星光狮,星光狮（星光能量的样子）,最终阶段,电,,电流刺激,携带的攻击技能获得迸发：威力+40。,75,101,106,90,110,135,617,,,否,小星光（星光能量的样子）,星光能量的样子,,1.08~1.54,49.5~58.1,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%98%9F%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/7/75/cjjrzihw6bz4uzfdn1npim98tas9p21.png,
149,081,100811,星光狮,星光狮（月光能量的样子）,最终阶段,电,光,电流刺激,携带的攻击技能获得迸发：威力+40。,80,95,107,90,120,125,617,,,否,小星光（月光能量的样子）,月光能量的样子,,1.08~1.54,49.5~58.1,常见于草地、山地,0.6,https://wiki.biligame.com/rocom/%E6%98%9F%E5%85%89%E7%8B%AE%EF%BC%88%E6%9C%88%E5%85%89%E8%83%BD%E9%87%8F%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d6/iixbxn3wupmru7y4ms0r4u8gk6g6ais.png,
150,082,10082,一窝蜂,一窝蜂,Ⅰ阶,虫,翼,虫群鼓舞,队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+10%。,87,32,29,27,27,26,228,,,否,一窝蜂,,,0.37~0.52,4~5.5,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E4%B8%80%E7%AA%9D%E8%9C%82,https://patchwiki.biligame.com/images/rocom/d/de/drnf14ybuu1j1ulcxyktvpr52tlw89x.png,
151,083,10083,黄蜂后,黄蜂后,Ⅱ阶,虫,翼,虫群鼓舞,队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+10%。,116,43,39,36,36,35,305,,,否,一窝蜂,,,0.81~1.16,31.7~39.21,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E9%BB%84%E8%9C%82%E5%90%8E,https://patchwiki.biligame.com/images/rocom/c/cc/81ny58tuiqt9xd2e6tsi79lf7yigchq.png,
152,084,100841,女王蜂,女王蜂,最终阶段,虫,翼,虫群鼓舞,队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+15%。,145,50,45,42,42,40,364,,,否,一窝蜂,,,1.54~2.12,98.5~137,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E5%A5%B3%E7%8E%8B%E8%9C%82,https://patchwiki.biligame.com/images/rocom/b/b9/ld17fiy8lz2xf36dr203adnux051q7i.png,
153,084,10084,花魁蜂后,花魁蜂后,最终阶段,虫,翼,虫群突袭,队伍中每有1只其他的虫系精灵，自己入场时获得攻防速+15%。,145,54,49,45,45,44,382,,,否,一窝蜂,,,0.83~1.19,61.5~78.4,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E8%8A%B1%E9%AD%81%E8%9C%82%E5%90%8E,https://patchwiki.biligame.com/images/rocom/7/7c/la0ecwe4eufml69boq4366g7gbnfra1.png,
154,085,10085,小夜,小夜,Ⅰ阶,恶,,嫁祸,自己每失去25%生命，连击数+2。,60,69,63,62,51,69,374,,,是,小夜,,,0.51~0.73,4.5~7.6,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E5%A4%9C,https://patchwiki.biligame.com/images/rocom/7/72/482iqm8394vdtee3ylwiwyndj9tr8vq.png,
155,086,10086,紫夜,紫夜,Ⅱ阶,恶,,嫁祸,自己每失去25%生命，连击数+2。,80,92,84,83,68,92,499,,,是,小夜,,,0.72~1.03,17.6~22.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E7%B4%AB%E5%A4%9C,https://patchwiki.biligame.com/images/rocom/1/14/ev4kpmwhjhjkpbr8fkexil8olnj0qd5.png,
156,087,10087,朔夜伊芙,朔夜伊芙,最终阶段,恶,,嫁祸,自己每失去25%生命，连击数+2。,100,115,105,104,85,115,624,,,是,小夜,,,1.06~1.51,46.2~57.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%9C%94%E5%A4%9C%E4%BC%8A%E8%8A%99,https://patchwiki.biligame.com/images/rocom/4/47/iefezmj355h7aifobba452t5fax5sup.png,
157,088,10088,乖乖鹄,乖乖鹄,Ⅰ阶,翼,水,洁癖,离场后，自己的增益和减益会被更换入场的精灵继承。,75,57,52,83,58,69,394,,,否,乖乖鹄,,,0.46~0.67,4.2~5.5,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E4%B9%96%E4%B9%96%E9%B9%84,https://patchwiki.biligame.com/images/rocom/5/5a/t2rdnue1b6xwisya3nw5oyti9t2wdur.png,
158,089,10089,蓝珠天鹅,蓝珠天鹅,Ⅱ阶,翼,水,洁癖,离场后，自己的增益和减益会被更换入场的精灵继承。,100,76,69,110,78,92,525,,,否,乖乖鹄,,,0.88~1.03,14.08~18.1,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E8%93%9D%E7%8F%A0%E5%A4%A9%E9%B9%85,https://patchwiki.biligame.com/images/rocom/5/5b/qho9vlfx1c2x6kn2a6hrbjx6b7ldqs8.png,
159,090,10090,翠顶夫人,翠顶夫人,最终阶段,翼,水,洁癖,离场后，自己的增益和减益会被更换入场的精灵继承。,125,95,86,138,97,115,656,,,否,乖乖鹄,,,1.2~1.34,19.05~25.04,常见于湖泊,0.6,https://wiki.biligame.com/rocom/%E7%BF%A0%E9%A1%B6%E5%A4%AB%E4%BA%BA,https://patchwiki.biligame.com/images/rocom/8/8d/0mse3bf6b98dflfbq9bwjeofgi8lo24.png,
160,091,10091,黑羽夫人,黑羽夫人,最终阶段,翼,恶,孤傲,敌方精灵离场后，其增益和减益会被更换入场的精灵继承。,132,93,87,130,90,120,652,,,否,乖乖鹄,,血脉为恶系血脉进化,1.25~1.4,20.5~28.06,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%BB%91%E7%BE%BD%E5%A4%AB%E4%BA%BA,https://patchwiki.biligame.com/images/rocom/6/63/6f0vzmzh3c2vr7vu4cli5ppzwcf18di.png,
161,092,10092,锤头鹳,锤头鹳,最终阶段,翼,水,快锤,携带的能耗小于3的技能，获得迅捷。,111,67,65,91,72,105,511,,,否,锤头鹳,,,1.09~1.56,51.3~65.8,常见于浅滩,0.6,https://wiki.biligame.com/rocom/%E9%94%A4%E5%A4%B4%E9%B9%B3,https://patchwiki.biligame.com/images/rocom/c/c8/0kv8ab3s5umo3dbcwsthu9xnpo9y1fc.png,
162,093,10093,绿草精灵,绿草精灵,Ⅰ阶,草,幻,木桶戏法,离场后，更换入场的精灵以木桶状态登场。,79,35,89,87,111,72,473,,,否,绿草精灵,,,0.71~1.01,9.3~10.3,咸水湾,0.6,https://wiki.biligame.com/rocom/%E7%BB%BF%E8%8D%89%E7%B2%BE%E7%81%B5,https://patchwiki.biligame.com/images/rocom/1/17/i57n7v6fkt96if840ri0w2jwf07rsgr.png,
163,094,10094,魔草巫灵,魔草巫灵,最终阶段,草,幻,木桶戏法,离场后，更换入场的精灵以木桶状态登场。,99,43,112,109,139,90,592,,,否,绿草精灵,,,0.74~1.05,29~34,银蛇河口,0.6,https://wiki.biligame.com/rocom/%E9%AD%94%E8%8D%89%E5%B7%AB%E7%81%B5,https://patchwiki.biligame.com/images/rocom/5/59/1efyfsgz5qsbi73ldyaoxlziimgv58k.png,
164,095,10095,记忆石,记忆石,最终阶段,地,,不移,携带的无额外效果的攻击技能，威力+30%。,112,108,97,141,79,70,607,,,否,记忆石,,,0.97~1.39,90.2~112,金叶原,0.6,https://wiki.biligame.com/rocom/%E8%AE%B0%E5%BF%86%E7%9F%B3,https://patchwiki.biligame.com/images/rocom/0/0a/q6hhh7atr12ne3qx79r3q311a3pcmo9.png,
165,096,10096,咔咔羽毛,咔咔羽毛,Ⅰ阶,翼,普通,咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,58,68,66,61,53,72,378,,,否,咔咔羽毛,,,0.62~0.89,2.62~3.9,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E7%BE%BD%E6%AF%9B,https://patchwiki.biligame.com/images/rocom/e/ed/ob21aol2viw67k7tp5830dj3rzphp66.png,
166,097,10097,咔咔雀,咔咔雀,Ⅱ阶,翼,普通,咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,78,91,88,81,71,96,505,,,否,咔咔羽毛,,,0.66~0.95,13.8~18.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%9B%80,https://patchwiki.biligame.com/images/rocom/9/9a/ap3uj4ncl7ems9nor7p2eekc040rowl.png,
167,098,10098,咔咔鸟,咔咔鸟,最终阶段,翼,普通,咔咔冲刺,若先于敌方行动，行动后获得连击数+1。,97,114,110,101,89,120,631,,,否,咔咔羽毛,,,0.7~1,27.5~33.72,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%92%94%E5%92%94%E9%B8%9F,https://patchwiki.biligame.com/images/rocom/f/fa/9xi3n8libbst7y2xe4bja79hfbmcmmn.png,
168,099,10099,小草虫,小草虫,Ⅰ阶,虫,草,花精灵,回合结束时，己方队伍获得1次随机奉献。,73,40,43,50,57,60,323,,,否,小草虫,,,0.47~0.67,2.1~3.4,常见于草丛,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E8%8D%89%E8%99%AB,https://patchwiki.biligame.com/images/rocom/a/a3/4wnznw67s6p9vg2jru046cjq7q8qs8w.png,
169,100,10100,草衣虫,草衣虫,Ⅱ阶,虫,草,花精灵,回合结束时，己方队伍获得1次随机奉献。,97,53,57,67,75,80,429,,,否,小草虫,,,0.6~0.87,7.2~8.6,常见于草丛,0.6,https://wiki.biligame.com/rocom/%E8%8D%89%E8%A1%A3%E8%99%AB,https://patchwiki.biligame.com/images/rocom/9/92/cxu0820j279llw3cmwkhmhqa0cac6ui.png,
170,101,10101,花衣蝶,花衣蝶,最终阶段,虫,草,花精灵,回合结束时，己方队伍获得1次随机奉献。,122,67,72,84,94,100,539,,,否,小草虫,,,0.92~1.32,19.6~23.4,常见于草丛,0.6,https://wiki.biligame.com/rocom/%E8%8A%B1%E8%A1%A3%E8%9D%B6,https://patchwiki.biligame.com/images/rocom/c/ca/ssjrnqrtjz4ftobafu4guizlkdpye0f.png,
171,102,10102,绿翼鸟,绿翼鸟,Ⅰ阶,萌,翼,自由飘,自己每有1层萌化，获得连击数+2。,52,68,20,56,53,81,330,,,否,绿翼鸟,,,0.49~0.61,3.6~4.8,常见于山林,0.6,https://wiki.biligame.com/rocom/%E7%BB%BF%E7%BF%BC%E9%B8%9F,https://patchwiki.biligame.com/images/rocom/6/64/6legu9g43vllzz0bwdewrpp0f6zmwdu.png,
172,103,10103,魔翼鸟,魔翼鸟,Ⅱ阶,萌,翼,自由飘,自己每有1层萌化，获得连击数+2。,70,91,27,75,70,108,441,,,否,绿翼鸟,,,0.78~1.12,8.85~13.8,常见于山林,0.6,https://wiki.biligame.com/rocom/%E9%AD%94%E7%BF%BC%E9%B8%9F,https://patchwiki.biligame.com/images/rocom/4/4d/di46fdrniv7kdxjfmi5kym1373p4xme.png,
173,104,10104,魔眷鸟,魔眷鸟,最终阶段,萌,翼,自由飘,自己每有1层萌化，获得连击数+2。,87,113,34,94,88,135,551,,,否,绿翼鸟,,,0.91~1.31,19.8~24.5,奥贝斯坦湖,0.6,https://wiki.biligame.com/rocom/%E9%AD%94%E7%9C%B7%E9%B8%9F,https://patchwiki.biligame.com/images/rocom/7/76/qdoq3s6blcshbk7z6iki63glfphv1ap.png,
174,105,10105,阿米亚特,阿米亚特,Ⅰ阶,地,,石头大餐,能量不足时，消耗5%生命，代替1能量。,64,95,47,67,42,45,360,,,否,阿米亚特,,,0.57~0.79,38.5~49.2,乌黑巷 / 叽叽喳喳台地 / 商店街周边 / 奥贝斯坦湖 / 学院驻地 / 岚语峰 / 挽风屏障 / 月牙湖岸 / 月牙镇 / 皇家办事处 / 聆风塔地 / 聆风镇 / 轻风山 / 风眠圣所,0.6,https://wiki.biligame.com/rocom/%E9%98%BF%E7%B1%B3%E4%BA%9A%E7%89%B9,https://patchwiki.biligame.com/images/rocom/0/01/qzl2l4nltxeu187qw1a2ybgfe5qj2tf.png,
175,106,10106,阿米樱,阿米樱,Ⅱ阶,地,,石头大餐,能量不足时，消耗5%生命，代替1能量。,86,127,62,89,56,60,480,,,否,阿米亚特,,,0.78~1.12,94.2~143,乌黑巷 / 叽叽喳喳台地 / 商店街周边 / 奥贝斯坦湖 / 学院驻地 / 岚语峰 / 挽风屏障 / 月牙湖岸 / 月牙镇 / 皇家办事处 / 聆风塔地 / 聆风镇 / 轻风山 / 风眠圣所,0.6,https://wiki.biligame.com/rocom/%E9%98%BF%E7%B1%B3%E6%A8%B1,https://patchwiki.biligame.com/images/rocom/c/c6/mlsnrq1x6vea9vvb932aajlqpafb72q.png,
