id,技能名称,页面标题,描述,效果,耗能,属性,威力,技能类别,技能版本,页面链接
143,念力膨胀,念力膨胀,,对敌方精灵造成物理伤害。,2,幻,80,物攻,0.1,https://wiki.biligame.com/rocom/%E5%BF%B5%E5%8A%9B%E8%86%A8%E8%83%80
144,怒火,怒火,,自己获得双攻+120%和双防-40%。,1,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%80%92%E7%81%AB
145,怨力打击,怨力打击,必将加倍奉还。,蓄力，造成魔伤，若蓄力期间受到攻击，本技能威力变为敌方技能威力的3倍。,3,龙,1,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%80%A8%E5%8A%9B%E6%89%93%E5%87%BB
146,恐吓,恐吓,,对敌方精灵造成魔法伤害。,2,幽,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%81%90%E5%90%93
147,恶作剧,恶作剧,,敌方失去3能量，应对防御：改为敌方失去6能量。,1,幽,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%81%B6%E4%BD%9C%E5%89%A7
148,恶念交换,恶念交换,,与敌方交换生命比例。,4,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%81%B6%E5%BF%B5%E4%BA%A4%E6%8D%A2
149,恶意逃离,恶意逃离,,脱离，应对防御：额外使敌方攻击技能能耗+4。,1,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%81%B6%E6%84%8F%E9%80%83%E7%A6%BB
150,恶能量,恶能量,,对敌方精灵造成物理伤害。,1,恶,60,物攻,0.1,https://wiki.biligame.com/rocom/%E6%81%B6%E8%83%BD%E9%87%8F
151,惊吓盒子,惊吓盒子,,造成物伤，应对状态：使敌方失去6能量。,3,幽,80,物攻,0.1,https://wiki.biligame.com/rocom/%E6%83%8A%E5%90%93%E7%9B%92%E5%AD%90
152,感染病,感染病,S2赛季调整：&nbsp;威力85一110，造成魔伤，若击败敌方则将中毒转化为中毒印记,造成魔伤，若击败敌方则将中毒转化为中毒印记。,4,毒,110,魔攻,0.2,https://wiki.biligame.com/rocom/%E6%84%9F%E6%9F%93%E7%97%85
153,感电,感电,,造成魔伤，每离场1次，本技能使用次数永久+1。,2,电,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%84%9F%E7%94%B5
154,截拳,截拳,S2赛季调整：&nbsp;威力90一85，造成物伤，应对状态:额外造成打断，回复该技能能耗的能量,造成物伤，应对状态：额外造成打断，回复该技能能耗的能量。,3,武,85,物攻,0.2,https://wiki.biligame.com/rocom/%E6%88%AA%E6%8B%B3
155,扇风,扇风,,造成物伤，若先于敌方攻击，本次技能威力+50%。,3,翼,75,物攻,0.1,https://wiki.biligame.com/rocom/%E6%89%87%E9%A3%8E
156,打湿,打湿,海风在这里留下未成熟的盐。,自己获得1层湿润印记。,4,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%89%93%E6%B9%BF
157,打雪仗,打雪仗,,造成魔伤，2连击。,3,冰,45,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%89%93%E9%9B%AA%E4%BB%97
158,打鼾,打鼾,星星都被吵到失眠。,对敌方精灵造成魔法伤害。,6,普通,165,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%89%93%E9%BC%BE
159,扫尾,扫尾,注意：当看到尾巴扫过来的时候，请记得起跳，像跳绳那样。,对敌方精灵造成物理伤害。,2,普通,90,物攻,0.1,https://wiki.biligame.com/rocom/%E6%89%AB%E5%B0%BE
160,扬沙,扬沙,,对敌方精灵造成物理伤害。,1,地,60,物攻,0.1,https://wiki.biligame.com/rocom/%E6%89%AC%E6%B2%99
161,技巧打击,技巧打击,,造成物伤，应对状态：本次技能威力变为10倍。,2,武,35,物攻,0.1,https://wiki.biligame.com/rocom/%E6%8A%80%E5%B7%A7%E6%89%93%E5%87%BB
162,抓挠,抓挠,,造成物伤，自己回复1能量。,0,普通,35,物攻,0.1,https://wiki.biligame.com/rocom/%E6%8A%93%E6%8C%A0
163,折射,折射,"24px|link=地系：对手-40速度,-2连击&nbsp;24px|link=普通：技能威力+10&nbsp;24px|link=机械：物防+30％
24px|link=草系：回复生命15％&nbsp;24px|link=火系：对手+4层灼烧&nbsp;24px|link=冰系：对手+2层冻结
24px|link=毒系：对手+2层中毒&nbsp;24px|link=虫系：对手-40%物防&nbsp;24px|link=龙系：对手-40%魔防
24px|link=翼系：连击+1&nbsp;24px|link=水系：全技能能耗-1&nbsp;24px|link=武系：物攻+30％
24px|link=光系：魔攻+30％&nbsp;24px|link=幻系：对手+1层星陨印记&nbsp;24px|link=幽系：对手-2点能量
24px|link=恶系：吸血+30%&nbsp;24px|link=电系：速度+20&nbsp;24px|link=萌系：对手-30%双攻",造成魔伤，携带其他系别技能会给本技能带来不同效果。,4,光,50,魔攻,,https://wiki.biligame.com/rocom/%E6%8A%98%E5%B0%84
164,折线冲击,折线冲击,,对敌方精灵造成物理伤害。,2,光,80,物攻,0.1,https://wiki.biligame.com/rocom/%E6%8A%98%E7%BA%BF%E5%86%B2%E5%87%BB
165,抛石,抛石,,造成物伤，回合结束时，本技能能耗永久-5。,30,地,140,物攻,0.1,https://wiki.biligame.com/rocom/%E6%8A%9B%E7%9F%B3
166,报复,报复,,减伤70%，应对攻击：敌方失去3能量。,2,幽,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%8A%A5%E5%A4%8D
167,抽枝,抽枝,,造成物伤，应对状态：自己回复50%生命和5能量。,4,草,90,物攻,0.1,https://wiki.biligame.com/rocom/%E6%8A%BD%E6%9E%9D
168,拆卸,拆卸,,对敌方精灵造成物理伤害。,0,机械,40,物攻,0.1,https://wiki.biligame.com/rocom/%E6%8B%86%E5%8D%B8
169,拍击,拍击,,对敌方精灵造成魔法伤害。,1,普通,65,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%8B%8D%E5%87%BB
170,持续高温,持续高温,,造成魔伤，应对状态：下次攻击技能威力翻倍。,2,火,70,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%8C%81%E7%BB%AD%E9%AB%98%E6%B8%A9
171,指指点点,指指点点,杀伤力不大，但......,造成物伤，10连击。,10,普通,5,物攻,,https://wiki.biligame.com/rocom/%E6%8C%87%E6%8C%87%E7%82%B9%E7%82%B9
172,捆缚,捆缚,,敌方获得2层中毒，获得1次奉献：敌方获得2层中毒。,2,虫,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%8D%86%E7%BC%9A
173,捧杀,捧杀,,减伤90%，应对攻击：敌方获得1层萌化。,4,萌,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%8D%A7%E6%9D%80
174,排气,排气,,敌方获得全技能威力-20，若自己受到抵抗伤害，敌方额外获得全技能威力-20，使用后重置,2,机械,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%8E%92%E6%B0%94
175,掠夺,掠夺,,对敌方精灵造成魔法伤害。,1,恶,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%8E%A0%E5%A4%BA
176,掩护,掩护,,减伤70%，紧急脱离，应对攻击：下个入场精灵获得减伤。,2,虫,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%8E%A9%E6%8A%A4
177,提气,提气,,自己获得全技能威力+40，若敌方本回合更换精灵，额外获得威力+50。,4,武,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%8F%90%E6%B0%94
178,摇篮曲,摇篮曲,,敌方获得全技能能耗+3，应对防御：额外造成打断，且敌方下回合获得眩晕。,5,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%91%87%E7%AF%AE%E6%9B%B2
179,撒娇,撒娇,,造成魔伤，3连击。自己获得萌化：威力永久+20。,3,萌,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%92%92%E5%A8%87
180,撕咬,撕咬,,造成物伤，3连击，若自己的生命低于50%，本次技能连击数+2。,3,恶,30,物攻,0.1,https://wiki.biligame.com/rocom/%E6%92%95%E5%92%AC
181,撕裂,撕裂,,造成物伤，应对状态：本次攻击吸血100%。,3,恶,85,物攻,0.1,https://wiki.biligame.com/rocom/%E6%92%95%E8%A3%82
182,撞鬼,撞鬼,走廊尽头明明什么都没有，鼻子却撞到了毛绒绒的东西。,对敌方精灵造成物理伤害。,4,幽,120,物攻,0.1,https://wiki.biligame.com/rocom/%E6%92%9E%E9%AC%BC
183,操控,操控,一个圆圆的机关装置，精灵站上去之后，会发出“吃饭！”“快点！”的声音。,敌方本回合使用的技能能耗+7，持续3回合。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%93%8D%E6%8E%A7
184,放晴,放晴,光系研究员的最高杰作——让光最终的归处，与自然融为一体，变成晴天。,光系技能威力永久+50%，应对防御：改为永久+100%。,0,光,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%94%BE%E6%99%B4
185,散手,散手,对战课的某个老师，认为精灵对战存在一种美学，来自对手之间默契的喂招和破招。,造成物伤，2连击，应对状态：本技能改为6连击。,3,武,35,物攻,0.1,https://wiki.biligame.com/rocom/%E6%95%A3%E6%89%8B
186,斩断,斩断,S2赛季调整：&nbsp;威力75一70，造成物伤，应对状态:额外打断被应对技能,造成物伤，应对状态：额外打断被应对技能。,2,武,70,物攻,0.2,https://wiki.biligame.com/rocom/%E6%96%A9%E6%96%AD
187,旋转突击,旋转突击,优雅的精灵，在此献上它的舞蹈。,造成物伤，3连击。,3,普通,35,物攻,0.1,https://wiki.biligame.com/rocom/%E6%97%8B%E8%BD%AC%E7%AA%81%E5%87%BB
188,无影脚,无影脚,,造成物伤，应对状态：本次技能威力变为2倍。,3,武,85,物攻,0.1,https://wiki.biligame.com/rocom/%E6%97%A0%E5%BD%B1%E8%84%9A
189,无畏之心,无畏之心,这使你的精灵充满了决心。,减伤100%，应对攻击：减免的伤害变为回复自己生命，且本技能能耗永久+2。,5,普通,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%97%A0%E7%95%8F%E4%B9%8B%E5%BF%83
190,易燃物质,易燃物质,认识这些东西吗？他们是让蛮兽们落荒而逃的恐怖物质。,造成魔伤，2连击，每次连击使敌方获得2层灼烧。,3,火,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%98%93%E7%87%83%E7%89%A9%E8%B4%A8
191,星云漩涡,星云漩涡,,对敌方精灵造成物理伤害。,1,幻,60,物攻,0.1,https://wiki.biligame.com/rocom/%E6%98%9F%E4%BA%91%E6%BC%A9%E6%B6%A1
192,星星撞击,星星撞击,,对敌方精灵造成魔法伤害。,2,普通,90,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%98%9F%E6%98%9F%E6%92%9E%E5%87%BB
193,星轨裂变,星轨裂变,,敌方获得2层星陨印记。,1,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%98%9F%E8%BD%A8%E8%A3%82%E5%8F%98
194,星链,星链,,2连击，每次连击使敌方获得1层星陨印记。,3,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%98%9F%E9%93%BE
195,晒太阳,晒太阳,,驱散敌方所有增益。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%99%92%E5%A4%AA%E9%98%B3
196,暗突袭,暗突袭,,造成物伤，吸血50%，应对状态：本次技能威力翻倍。,4,恶,70,物攻,0.1,https://wiki.biligame.com/rocom/%E6%9A%97%E7%AA%81%E8%A2%AD
197,暗箱操作,暗箱操作,,自己获得双攻和双防-100%，应对防御：改为敌方获得双攻和双防-100%。,1,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%9A%97%E7%AE%B1%E6%93%8D%E4%BD%9C
198,暴风眼,暴风眼,,行动时连击数+100%。,2,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%9A%B4%E9%A3%8E%E7%9C%BC
199,暴风雪,暴风雪,,造成物伤，敌方获得1层冻结。,3,冰,85,物攻,0.1,https://wiki.biligame.com/rocom/%E6%9A%B4%E9%A3%8E%E9%9B%AA
200,月光合奏,月光合奏,,造成物伤，1连击，双方携带的所有精灵每有1层萌化，本次技能连击数+1。,3,萌,30,物攻,0.1,https://wiki.biligame.com/rocom/%E6%9C%88%E5%85%89%E5%90%88%E5%A5%8F
201,有效预防,有效预防,,减伤50%，应对攻击：下一次行动获得先手+1。,1,普通,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%9C%89%E6%95%88%E9%A2%84%E9%98%B2
202,杂耍,杂耍,,造成魔伤，巧变：吸血相关技能。,3,恶,115,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%9D%82%E8%80%8D
203,杠杆置换,杠杆置换,,自己回复2能量，交换两侧技能位置。,0,机械,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%9D%A0%E6%9D%86%E7%BD%AE%E6%8D%A2
204,极寒领域,极寒领域,“雪人里面怎么有人啊！”,造成魔伤，若敌方有冻结，本次技能威力+60，应对状态：使冻结翻倍。,6,冰,105,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%9E%81%E5%AF%92%E9%A2%86%E5%9F%9F
205,极速冷冻,极速冷冻,,本回合敌方释放的技能能耗+2，应对防御：能耗+4。,2,冰,,状态,,https://wiki.biligame.com/rocom/%E6%9E%81%E9%80%9F%E5%86%B7%E5%86%BB
206,极限撕裂,极限撕裂,,造成物伤，若生命高于50%，使用后自己获得双攻-50%。,4,恶,135,物攻,0.1,https://wiki.biligame.com/rocom/%E6%9E%81%E9%99%90%E6%92%95%E8%A3%82
207,架势,架势,“对上眼神就放马过来吧，放别的过来也可以。”,自己回复20%生命，下次技能无需蓄力。,2,龙,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%9E%B6%E5%8A%BF
208,柔弱,柔弱,,获得萌化，降低敌方70%物攻和物防。,1,萌,,状态,,https://wiki.biligame.com/rocom/%E6%9F%94%E5%BC%B1
209,根吸收,根吸收,,自己回复15%生命和4能量。,2,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%A0%B9%E5%90%B8%E6%94%B6
210,栽赃,栽赃,,对敌方精灵造成魔法伤害。,6,恶,150,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%A0%BD%E8%B5%83
211,械斗,械斗,,造成物伤，本技能位于1号位时威力+60，传动1。,1,机械,45,物攻,0.1,https://wiki.biligame.com/rocom/%E6%A2%B0%E6%96%97
212,棘刺,棘刺,,敌方获得1层棘刺印记。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%A3%98%E5%88%BA
213,棘突,棘突,,对敌方精灵造成魔法伤害。,3,草,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%A3%98%E7%AA%81
214,横纵斩,横纵斩,,造成魔伤，2连击。,2,恶,25,魔攻,,https://wiki.biligame.com/rocom/%E6%A8%AA%E7%BA%B5%E6%96%A9
215,欺诈契约,欺诈契约,,与敌方交换增益和减益。,3,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%AC%BA%E8%AF%88%E5%A5%91%E7%BA%A6
216,毒囊,毒囊,,造成物伤，敌方获得2层中毒，应对状态：改为获得6层。,2,毒,25,物攻,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E5%9B%8A
217,毒孢子,毒孢子,,敌方获得5层中毒。,3,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E5%AD%A2%E5%AD%90
218,毒沼,毒沼,,对敌方精灵造成物理伤害。,2,毒,80,物攻,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E6%B2%BC
219,毒泡泡,毒泡泡,,对敌方精灵造成魔法伤害。,0,毒,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E6%B3%A1%E6%B3%A1
220,毒液渗透,毒液渗透,在空气和水中蔓延扩散，直到整个王国的尽头，察觉到的时候往往为时已晚。,造成魔伤，敌方每有1层中毒效果，本技能能耗-1，敌方获得1层中毒。,5,毒,120,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E6%B6%B2%E6%B8%97%E9%80%8F
221,毒针,毒针,,造成物伤，敌方获得1层中毒。,0,毒,20,物攻,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E9%92%88
222,毒雾,毒雾,紫雀花迷雾下签订的契约。,将敌方所有增益，转化成中毒。,7,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%AF%92%E9%9B%BE
223,气势一击,气势一击,,造成物伤，若上回合应对成功，本次技能威力+180。,3,普通,80,物攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%94%E5%8A%BF%E4%B8%80%E5%87%BB
224,气沉丹田,气沉丹田,,自己回复60%生命，获得物攻+130%，每次应对后本技能能耗-3，使用后能耗重置。,10,武,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B0%94%E6%B2%89%E4%B8%B9%E7%94%B0
225,气泡,气泡,,对敌方精灵造成魔法伤害。,3,水,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%94%E6%B3%A1
226,气波,气波,,对敌方精灵造成魔法伤害。,0,武,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%94%E6%B3%A2
227,氧输送,氧输送,,自己回复4能量，并获得魔攻+70%。,2,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B0%A7%E8%BE%93%E9%80%81
228,水光冲击,水光冲击,,对敌方精灵造成魔法伤害。,5,水,140,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%85%89%E5%86%B2%E5%87%BB
229,水刃,水刃,"把深海最硬的一截浪，削成无声的小刀。


S2赛季调整：&nbsp;造成物伤，应对状态：本技能能耗永久-4改为-3",造成物伤，应对状态：本技能能耗永久-3。,4,水,115,物攻,0.2,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%88%83
230,水幕冲击,水幕冲击,,对敌方精灵造成物理伤害。,3,水,100,物攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%B9%95%E5%86%B2%E5%87%BB
231,水弹,水弹,,对敌方精灵造成魔法伤害。,0,水,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%BC%B9
232,水弹枪,水弹枪,,对敌方精灵造成魔法伤害。,2,水,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E5%BC%B9%E6%9E%AA
233,水星水,水星水,,造成魔伤，应对状态：本次伤害不受自身属性减益和敌方属性增益影响,3,水,0,魔攻,,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%98%9F%E6%B0%B4
234,水泡盾,水泡盾,,减伤80%，应对攻击：自己获得魔攻+70%。,2,水,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A1%E7%9B%BE
235,水波术,水波术,,造成魔伤，回合结束时，本技能威力永久+20。,6,水,90,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E6%B3%A2%E6%9C%AF
236,水炮,水炮,,造成魔伤，每次使用后，本技能能耗永久-1。,5,水,110,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%82%AE
237,水环,水环,,减伤60%，应对攻击：自己获得全技能能耗-2。,2,水,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E7%8E%AF
238,水花四溅,水花四溅,咕嘟咕嘟浅滩的温泉里不可以跳水哦。,造成魔伤，4连击。,3,水,20,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B0%B4%E8%8A%B1%E5%9B%9B%E6%BA%85
239,求雨,求雨,,将天气变为雨天，本技能能耗降低效果收益翻倍。,8,水,,状态,,https://wiki.biligame.com/rocom/%E6%B1%82%E9%9B%A8
240,汲取,汲取,,造成魔伤，并吸血100%。,1,草,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B1%B2%E5%8F%96
241,沙涌,沙涌,,将天气改为沙暴，持续8回合。,7,地,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B2%99%E6%B6%8C
242,泡沫,泡沫,白的，轻的，易碎的。,对敌方精灵造成物理伤害。,1,水,60,物攻,0.1,https://wiki.biligame.com/rocom/%E6%B3%A1%E6%B2%AB
243,泡沫幻影,泡沫幻影,应作如是观。,减伤80%，应对攻击：自己脱离。,2,水,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%B3%A1%E6%B2%AB%E5%B9%BB%E5%BD%B1
244,泥巴喷射,泥巴喷射,,对敌方精灵造成魔法伤害。,1,地,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B3%A5%E5%B7%B4%E5%96%B7%E5%B0%84
245,泥浆,泥浆,,对敌方精灵造成魔法伤害。,0,地,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B3%A5%E6%B5%86
246,泥浆铠甲,泥浆铠甲,即使地底蛮兽也不曾让他们退缩。,自己获得物攻和物防+60%，应对防御：额外使自己的增益翻倍。,2,地,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B3%A5%E6%B5%86%E9%93%A0%E7%94%B2
247,洗礼,洗礼,,驱散自己的减益，并获得全技能能耗-1。,1,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B4%97%E7%A4%BC
248,流星火雨,流星火雨,传说以心脏为代价，可以和流星签订契约，使用流星的力量。,造成物伤，每次击败敌方，本技能威力永久+75。,3,火,75,物攻,0.1,https://wiki.biligame.com/rocom/%E6%B5%81%E6%98%9F%E7%81%AB%E9%9B%A8
249,流沙,流沙,,敌方3回合无法更换精灵，应对防御：敌方获得双防-60%。,2,地,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B5%81%E6%B2%99
250,流火,流火,,造成魔伤，3连击。,1,火,15,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B5%81%E7%81%AB
251,消毒法,消毒法,,造成魔伤，驱散敌方5层增益。,4,普通,115,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B6%88%E6%AF%92%E6%B3%95
252,涌泉,涌泉,S2赛季调整：&nbsp;威力60一90，造成魔伤，本技能能耗每-1，威力+10,造成魔伤，本技能能耗每-1，威力+10。,6,水,90,魔攻,0.2,https://wiki.biligame.com/rocom/%E6%B6%8C%E6%B3%89
253,润泽,润泽,水就挨着陆地，摸到水就摸到了世界的尽头。,自己获得魔攻+190%。,7,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B6%A6%E6%B3%BD
254,淤泥表皮,淤泥表皮,,减伤80%，应对攻击：敌方获得连击数-3。,2,地,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%B7%A4%E6%B3%A5%E8%A1%A8%E7%9A%AE
255,淬火,淬火,S2赛季调整：&nbsp;技能能耗4一2，减伤80%，应对攻击:下次攻击技能威力翻倍,减伤80%，应对攻击：下次攻击技能威力翻倍。,2,火,0,防御,0.2,https://wiki.biligame.com/rocom/%E6%B7%AC%E7%81%AB
256,清洗,清洗,把「不开心」放在这里吧，我帮你带到很远很远的海里去。,驱散自己的减益，自己每有1层减益，本技能能耗-1，巧变：水系攻击技能。,0,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%B8%85%E6%B4%97
257,湮灭,湮灭,,对敌方精灵造成魔法伤害。,5,普通,155,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%B9%AE%E7%81%AD
258,溃烂触碰,溃烂触碰,,对敌方精灵造成物理伤害。,1,毒,60,物攻,0.1,https://wiki.biligame.com/rocom/%E6%BA%83%E7%83%82%E8%A7%A6%E7%A2%B0
259,滚雪球,滚雪球,,造成物伤，敌方获得2层冻结，应对状态：额外获得2层，本次技能威力翻倍。,3,冰,55,物攻,0.1,https://wiki.biligame.com/rocom/%E6%BB%9A%E9%9B%AA%E7%90%83
260,漫反射,漫反射,,每种系别中的至多1个技能，威力+35。,1,光,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%BC%AB%E5%8F%8D%E5%B0%84
261,潮汐,潮汐,,减伤60%，应对攻击：自己获得1层湿润印记。,4,水,0,防御,0.1,https://wiki.biligame.com/rocom/%E6%BD%AE%E6%B1%90
262,潮涌,潮涌,,对敌方精灵造成物理伤害。,2,水,80,物攻,0.1,https://wiki.biligame.com/rocom/%E6%BD%AE%E6%B6%8C
263,激怒,激怒,,敌方除本回合使用的技能，其他技能能耗+3，持续3回合。,3,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E6%BF%80%E6%80%92
264,激流,激流,,对敌方精灵造成魔法伤害。,4,水,120,魔攻,0.1,https://wiki.biligame.com/rocom/%E6%BF%80%E6%B5%81
265,火云车,火云车,,对敌方精灵造成物理伤害。,5,火,140,物攻,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E4%BA%91%E8%BD%A6
266,火焰冲锋,火焰冲锋,,对敌方精灵造成物理伤害。,1,火,60,物攻,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E5%86%B2%E9%94%8B
267,火焰切割,火焰切割,,对敌方精灵造成物理伤害。,3,火,100,物攻,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E5%88%87%E5%89%B2
268,火焰护盾,火焰护盾,,减伤70%，应对攻击：敌方获得6层灼烧。,2,火,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E6%8A%A4%E7%9B%BE
269,火焰箭,火焰箭,,对敌方精灵造成物理伤害。,2,火,80,物攻,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E7%84%B0%E7%AE%AD
270,火爪,火爪,,对敌方精灵造成魔法伤害。,1,火,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E7%88%AA
271,火苗,火苗,,造成物伤，自己回复1能量。,0,火,30,物攻,0.1,https://wiki.biligame.com/rocom/%E7%81%AB%E8%8B%97
272,灵光,灵光,,造成魔伤，3连击，若敌方本回合更换精灵，本次技能连击数翻倍。,3,幽,25,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%81%B5%E5%85%89
273,灵媒,灵媒,,对敌方精灵造成魔法伤害。,3,幽,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%81%B5%E5%AA%92
274,灼伤,灼伤,,对敌方精灵造成物理伤害。,4,火,120,物攻,0.1,https://wiki.biligame.com/rocom/%E7%81%BC%E4%BC%A4
275,灾厄,灾厄,S2赛季调整：&nbsp;对自己造成150一60威力物伤，应对状态:改为对敌方造成150-180威力物伤,对自己造成物伤，应对状态：改为对敌方造成180威力物伤。,1,恶,60,物攻,0.2,https://wiki.biligame.com/rocom/%E7%81%BE%E5%8E%84
276,炎息,炎息,,对敌方精灵造成物理伤害。,0,火,40,物攻,0.1,https://wiki.biligame.com/rocom/%E7%82%8E%E6%81%AF
277,炎打,炎打,进攻是最好的防守。,造成高额魔法伤害，自己获得物防-40%。,2,火,95,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%82%8E%E6%89%93
278,炎枪,炎枪,“前锋听令——扬焚旗之矛，贯敌方于焦土，火族永不燃尽。”,对敌方精灵造成魔法伤害。,3,火,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%82%8E%E6%9E%AA
279,炎爆术,炎爆术,,将敌方印记转换为三倍的灼烧层数。,2,火,,状态,,https://wiki.biligame.com/rocom/%E7%82%8E%E7%88%86%E6%9C%AF
280,炙热波动,炙热波动,,造成魔伤，敌方获得4层灼烧，应对状态：本次技能威力和赋予灼烧翻倍。,3,火,55,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%82%99%E7%83%AD%E6%B3%A2%E5%8A%A8
281,烈焰风暴,烈焰风暴,,造成魔伤，敌方获得6层灼烧。,4,火,75,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%83%88%E7%84%B0%E9%A3%8E%E6%9A%B4
282,热气,热气,,对敌方精灵造成魔法伤害。,0,火,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%83%AD%E6%B0%94
283,热砂,热砂,,对敌方精灵造成魔法伤害。,2,地,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%83%AD%E7%A0%82
